,County,Year,Total Population in Thousands,Population Served in Thousands,Public Self-Supply Withdrawals (Mgal/ day),Public Supply Per Capita (Gallons/Person/Day),Domestic Self-Supply Withdrawn (Mgal/day),Domestic Self-Supply Population (Thousands),"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic, Public-Supply, Gallons/Person/Day",Total Domestic Consumption (Mgal/day),"Domestic, Self-Supply, Gallons/Person/Day","Industrial, Self-Supply Withdrawn (Mgal/day)",Industrial Total Consumption (Mgal/day),"Livestock, Self-Supply, Freshwater (Mgal/day)",Livestock Consumption Freshwater (Mgal/day),"Irrigation, Crop, Self-Supply, Fresh (Mgal/day)",Irrigation Crop Consumtion Freshwater (Mgal)
60,El Dorado County,2005,176.84099999999998,169.851,20.95,123.0,16.48,6.99,38.28,128.0,,2358.0,0.0,,0.16,,,
61,El Dorado County,2010,181.058,167.56,43.62,260.0,0.81,13.498,22.08,127.0,,60.0,0.89,,0.16,,7.8,
62,El Dorado County,2015,184.452,156.264,27.8,178.0,2.8,28.188000000000002,18.28,99.0,,99.0,0.89,,0.18,,25.64,21.14
63,Fresno County,1985,579.69,511.07,,,4.49,68.62,86.94,161.0,,65.0,25.85,10.5,,,,
64,Fresno County,1990,667.49,561.08,,,7.98,106.41,139.47,234.0,,75.0,3.09,1.44,,,,
65,Fresno County,1995,754.1,663.97,168.99,255.0,6.76,90.13,148.44,213.0,38.59,75.0,4.59,3.09,,,,
66,Fresno County,2000,799.41,757.68,,,3.13,41.73,,,,75.0,11.45,,20.96,,3486.9,
67,Fresno County,2005,877.584,740.807,476.2,643.0,40.07,136.77700000000002,200.02,216.0,,293.0,0.17,,13.26,,,
68,Fresno County,2010,930.45,825.21,257.94,313.0,7.64,105.24,138.93,159.0,,73.0,10.51,,14.03,,2488.89,
69,Fresno County,2015,974.8610000000001,872.74,157.08,180.0,10.57,102.12100000000001,112.49,117.0,,104.0,10.51,,13.24,,1614.96,1265.5
70,Glenn County,1985,23.08,14.38,,,0.65,8.7,2.88,155.0,,75.0,5.66,1.76,,,,
71,Glenn County,1990,24.8,14.72,,,0.76,10.08,3.14,162.0,,75.0,0.0,0.0,,,,
72,Glenn County,1995,26.6,15.43,4.09,265.0,0.83,11.17,3.65,183.0,0.98,74.0,0.59,0.17,,,,
73,Glenn County,2000,26.45,14.19,,,0.92,12.26,,,,75.0,0.63,,3.22,,674.4,
74,Glenn County,2005,27.759,16.387,3.5,214.0,2.31,11.372,8.3,366.0,,203.0,2.82,,2.14,,,
75,Glenn County,2010,28.122,18.27,4.42,242.0,0.73,9.852,3.38,145.0,,74.0,0.27,,2.09,,598.81,
76,Glenn County,2015,28.017,18.576,2.55,137.0,0.92,9.441,2.68,95.0,,97.0,0.27,,1.98,,660.62,522.47
77,Humboldt County,1985,112.9,83.92,,,1.19,28.98,7.66,77.0,,41.0,6.35,11.55,,,,
78,Humboldt County,1990,119.12,100.73,,,1.38,18.39,12.83,114.0,,75.0,1.5,3.02,,,,
79,Humboldt County,1995,124.5,104.24,37.3,358.0,1.52,20.26,13.45,114.0,3.5,75.0,32.45,14.32,,,,
80,Humboldt County,2000,126.52,110.17,,,1.22,16.35,,,,75.0,1.23,,3.77,,70.1,
81,Humboldt County,2005,128.376,70.482,13.02,185.0,2.92,57.894,14.64,166.0,,50.0,9.73,,2.07,,,
82,Humboldt County,2010,134.623,124.301,16.22,130.0,0.68,10.322000000000001,9.86,74.0,,66.0,0.48,,1.69,,37.49,
83,Humboldt County,2015,135.727,126.10700000000001,11.49,91.0,0.57,9.62,7.82,57.0,,59.0,0.48,,1.71,,59.58,45.36
84,Imperial County,1985,105.72,67.05,,,1.56,38.67,12.06,157.0,,40.0,1.55,0.69,,,,
85,Imperial County,1990,109.3,76.69,,,2.45,32.61,15.2,166.0,,75.0,0.0,0.16,,,,
86,Imperial County,1995,137.4,121.97,22.88,188.0,1.16,15.43,14.86,112.0,4.39,75.0,0.45,0.13,,,,
87,Imperial County,2000,142.36,136.96,,,0.4,5.4,,,,74.0,0.0,,7.26,,2834.4,
88,Imperial County,2005,155.82299999999998,125.23899999999999,30.33,242.0,0.13,30.584,24.27,193.0,,4.0,1.17,,6.35,,,
